Dimension,PopSize (default),Minimum (avg),Iterations (avg),f(x) calls (avg),Selection,Crossover (default),Mutation (default)
16,25,7.131230888355119e14,1.66270006e6,4.15675265e7,truncation,DC,mutation
16,25,8721.656758851288,1.3160779e6,3.29019725e7,susinv,DC,mutation
16,25,18382.040847772907,1.6953726e6,4.238434e7,best,DC,mutation
16,25,2.3706641806528164e16,1.06584208e6,2.6646077e7,sus,DC,mutation
16,25,23358.753553390674,1.3089952e6,3.2724905e7,uniformrank,DC,mutation
32,25,2.7466552149500195e15,824204.78,2.06051445e7,truncation,DC,mutation
32,25,26901.012031298877,759259.1,1.89815025e7,susinv,DC,mutation
32,25,27820.618649363812,920876.16,2.3021929e7,best,DC,mutation
32,25,4.391885715123569e16,766714.94,1.91678985e7,sus,DC,mutation
32,25,15612.647215165112,893741.74,2.23435685e7,uniformrank,DC,mutation
64,25,8.912141948035037e15,555439.72,1.3886018e7,truncation,DC,mutation
64,25,57318.68417567944,491520.66,1.22880415e7,susinv,DC,mutation
64,25,44709.979744078555,629075.84,1.5726921e7,best,DC,mutation
64,25,7.39150879980489e16,622028.8,1.5550745e7,sus,DC,mutation
64,25,45042.94073495935,696422.22,1.74105805e7,uniformrank,DC,mutation
